Interest / Discount on Advances / Bills,Income from Investments,Interest on Balance with RBI and Other Inter-Bank funds,Others,Total Income,Payments to and Provisions for Employees,Operating Expenses (excludes Employee Cost & Depreciation),Total Provisions and Contingencies,Total Expenditure,Net Profit / Loss for The Year,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),a) % of Share by Govt.,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Cash EPS (Rs.),Book Value [Incl. Reval Reserve]/Share (Rs.),Operating Revenue / Share (Rs.),Net Profit/Share (Rs.),Interest Income/ Employee (Rs.),Net Profit/ Employee (Rs.),Business/ Employee (Rs.),Interest Income/ Branch (Rs.),Net Profit/ Branches (Rs.),Business/ Branches (Rs.),ROCE (%),CASA (%),Net Profit Margin (%),Operating Profit Margin (%),Return on Assets (%),Net Interest Margin (X),Cost to Income (%),Interest Income/Total Assets (%),Non-Interest Income/Total Assets (%),Operating Profit/Total Assets (%),Operating Expenses/Total Assets (%),Interest Expenses/Total Assets (%),EV Per Net Sales (X),Price To Book Value (X),Price To Sales (X),Retention Ratios (%),rank
3.51769904306617,1.51321099906603,0.0848595305172576,0.0673374034889424,6.25560626049046,0.960440435923622,0.617103667815973,0.896220315754664,5.79213837754061,0.0046346788294985,0.0694608723838523,7.50479016864925,85.4729084189396,3.64277969596578,3.37952307770444,5.48323057438014,6.98013641204583,23.7469484144469,57.2874712803258,1.33062395583771,5.17158936296355,17.04,14.44,2.59,81.41,9.98,2.34,0.43,9.18,134.33,92.77,8.3,7346999.69,656960.12,202361360.31,74585359.26,6669335.55,2054334475.61,1.4,40.08,8.94,-11.75,0.46,1.91,40.33,5.18,1.07,-0.6,1.62,3.26,16.63,0.39,0.49,100.0,2
3.77577963246039,1.59091787363741,0.157343783333468,0.0692726502602546,6.61851665022747,0.891772746525846,0.550234140648609,1.20022629818885,6.32089581900113,0.0029762083122633,0.0584246788741768,6.29402549223059,86.3963611537791,4.4725248360058,2.42378365584545,8.36220026700872,9.07660185426471,25.7975044514656,50.380005578238,1.2280844235799,5.15560342544314,14.93,11.96,2.97,89.1,13.77,3.35,0.28,7.73,139.38,123.87,6.59,7889667.21,419809.69,192930310.34,79857274.78,4249210.66,1952793241.54,1.53,36.68,5.32,-13.0,0.29,1.96,40.69,5.59,1.02,-0.72,1.49,3.62,15.3,0.56,0.55,100.0,2
4.3843132680304,1.62925778423925,0.370098436598072,0.0628375708155556,7.46829186709169,0.934778120543538,0.597442466423057,2.20329369693685,7.91835432414238,-0.0045006245705069,0.0617030881247463,6.66919656737973,84.5523290358101,6.05064588876624,2.72783003012441,4.45044918726077,8.70889553151873,24.1360853806787,56.1470072823028,1.36713269321122,5.19042840294731,13.1,9.9,3.2,89.1,14.78,3.88,-0.43,-7.85,133.68,129.22,-9.02,8510311.41,-594145.96,185743219.94,82931793.22,-5789869.2,1810041673.59,1.8,36.51,-6.98,-22.83,-0.45,2.32,50.8,6.44,1.02,-1.47,1.59,4.12,13.61,0.28,0.25,100.0,2
4.35850200226211,1.59509367891934,0.453863777593282,0.113066886679956,7.34135368439195,0.963023039913257,0.689314229147483,2.18147980646388,8.22854136294829,-0.0088718767855633,0.062251612561051,6.66660706125195,83.3082729351346,7.0760642717403,2.20724022174238,4.67618233524546,10.4882476782198,23.6138270316548,54.5415039540142,1.4266977194883,5.25354128137737,14.19,11.07,3.12,87.05,15.84,5.61,-0.84,-18.77,151.02,147.71,-20.1,8352861.54,-1136496.92,176587024.98,79640186.17,-10835906.43,1683665350.26,1.32,35.9,-13.6,-26.19,-0.88,2.18,53.02,6.52,0.82,-1.7,1.71,4.33,13.85,0.81,0.71,100.0,0
4.1496628067796,1.50162860234895,0.448132020149192,0.146144485657323,7.18618418020967,0.804375403754778,0.603358245615227,2.16259421341265,8.17764572070668,-0.0099146318098468,0.0554434473614995,5.8303998542722,85.4455194614909,7.15068566725434,1.57339665747026,5.14257453838768,10.5868314805583,22.4929087049083,56.0029996645367,1.355910643489,4.41877332763231,12.94,9.73,3.21,83.09,16.58,8.26,-0.91,-31.68,203.82,218.33,-34.66,7820749.57,-1241517.07,177122959.1,74256697.68,-11787995.12,1681752613.42,1.18,34.1,-15.87,-30.93,-0.99,1.72,50.87,6.24,0.94,-1.93,1.49,4.52,14.48,0.6,0.47,100.0,2
4.34096400968167,1.44655690630286,0.321280571178517,0.1645928057236,7.35470193503603,0.861654179252368,0.555899483972192,1.80277868152902,7.60351191991777,-0.0024880838822647,0.0474361811697278,4.91213550136341,86.2244957670833,6.2917270887592,2.29671197426153,4.36647856098314,10.9435215608417,20.4095430361425,58.5144891756113,1.35106734090013,4.41490032552129,12.14,8.9,3.24,73.72,13.22,6.9,-0.24,-14.88,291.49,372.27,-14.76,8228450.74,-326348.65,189845795.79,78331045.26,-3106688.2,1807244168.46,1.59,31.89,-3.96,-21.2,-0.24,1.88,43.75,6.27,1.08,-1.33,1.41,4.38,14.43,0.48,0.37,100.0,1
4.97953867031697,1.46776939493741,0.347744148096437,0.0577934004557003,7.45170880094508,0.878360000729939,0.606323256135501,1.98795754673122,8.45008081714087,-0.0099837201619579,0.0495090840112472,5.08490927564156,84.1109695592622,8.37546701056656,2.21491088095004,5.56826272192209,10.6867013186598,19.4861789761057,58.8917439547577,1.39041093880246,3.97670208975224,12.01,9.03,2.98,73.72,13.07,7.79,-0.94,-71.0,379.47,511.4,-74.5,0.0,0.0,0.0,82325113.26,-11993716.76,1717930805.59,1.01,25.87,-14.56,-23.3,-0.99,1.92,47.23,6.85,0.59,-1.59,1.53,4.93,12.87,0.26,0.19,100.0,2
5.12013491046097,1.51930564610417,0.346413085445792,0.0337143615971714,7.70369849084309,0.805857128042616,0.455369355143616,0.934034414477272,7.42748607979444,0.0027621241104865,0.0497514165882869,5.08273054035302,85.9719663442777,6.47442783694578,2.47087527842351,4.39148672527924,7.95762700029817,19.3619643943757,64.9793107380896,0.951277082367326,2.35833405958994,10.73,8.17,2.56,64.43,5.39,3.36,0.03,29.96,472.42,652.44,25.67,9587176.6,377245.03,206166041.94,88777412.1,3493295.18,1909100919.87,1.24,22.29,3.93,-5.81,0.27,1.83,29.09,7.01,0.68,-0.4,1.3,5.18,12.84,0.41,0.3,80.56,0
4.73128814833192,1.46634747069995,0.349512256141155,0.0667300313229361,7.36264158040385,0.696304647218323,0.432744663115315,0.993322984238042,6.88648724280352,0.0047615433760032,0.0510826598221672,5.22044515066727,83.2139227083785,8.44876796567701,3.11686417527725,3.32759352829131,7.38129332985805,19.9152811754283,64.6789739252346,1.00944852162511,3.68740951956262,9.97,7.24,2.73,66.7,3.15,2.0,0.51,45.99,465.37,589.58,42.45,20455457.83,1472654.18,457404408.35,81527096.77,5869397.85,1823027075.27,1.51,22.94,7.19,-4.12,0.47,1.88,29.36,6.61,0.74,-0.27,1.16,4.72,13.74,0.49,0.39,88.22,2
5.11247700853411,1.6043341498257,0.277720381353431,0.0555652869253636,7.88218197186265,0.691670611259252,0.445677834194191,1.04045994244135,7.2747309163321,0.0060745326497375,0.0515275515798932,5.28458158625295,84.3652883924339,7.81426589747406,2.53586412383911,4.8534927054791,7.26217906953807,20.9042999122939,63.9341053893799,0.634138919889832,2.41178400341916,11.02,8.2,2.82,64.11,2.99,2.06,0.65,49.16,400.88,534.81,46.08,7571045.65,652338.68,159257600.51,74345128.15,6405746.97,1563856204.8,1.69,25.64,8.61,-3.18,0.6,1.99,28.14,7.05,0.83,-0.22,1.17,5.05,12.95,0.75,0.57,78.29,0
